kabupaten_kota,jumlah_penyakit_hipertensi,jumlah_penyakit_diabetes_mellitius,periode_update
Pacitan,32420,8753,Tahun 2018
Ponorogo,39004,7774,Tahun 2018
Trenggalek,35454,5010,Tahun 2018
Tulungagung,53766,61163,Tahun 2018
Blitar,43894,21338,Tahun 2018
Kediri,24236,19052,Tahun 2018
Malang,201368,95604,Tahun 2018
Lumajang,45345,18989,Tahun 2018
Jember,53431,28532,Tahun 2018
Banyuwangi,91325,83783,Tahun 2018
Bondowoso,76571,16052,Tahun 2018
Situbondo,70988,479,Tahun 2018
Probolinggo,5437,40102,Tahun 2018
Pasuruan,210560,84196,Tahun 2018
Sidoarjo,134015,60426,Tahun 2018
Mojokerto,30017,16113,Tahun 2018
Jombang,25513,27786,Tahun 2018
Nganjuk,50848,23926,Tahun 2018
Madiun,65927,24626,Tahun 2018
Magetan,79692,25577,Tahun 2018
Ngawi,123155,35770,Tahun 2018
Bojonegoro,120473,55903,Tahun 2018
Tuban,50838,29700,Tahun 2018
Lamongan,74266,29673,Tahun 2018
Gresik,52169,40629,Tahun 2018
Bangkalan,25321,29024,Tahun 2018
Sampang,19992,8098,Tahun 2018
Pamekasan,44740,42809,Tahun 2018
Sumenep,5113,53721,Tahun 2018
Kota Kediri,10453,3482,Tahun 2018
Kota Blitar,11047,6128,Tahun 2018
Kota Malang,41591,21578,Tahun 2018
Kota Probolinggo,11307,12163,Tahun 2018
Kota Pasuruan,17750,10987,Tahun 2018
Kota Mojokerto,42349,5387,Tahun 2018
Kota Madiun,16023,10187,Tahun 2018
Kota Surabaya,313960,175269,Tahun 2018
Kota Batu,10234,3058,Tahun 2018
Pacitan,22050,7238,Tahun 2019
Ponorogo,46317,15374,Tahun 2019
Trenggalek,61101,11613,Tahun 2019
Tulungagung,58561,12498,Tahun 2019
Blitar,197322,18871,Tahun 2019
Kediri,81502,27711,Tahun 2019
Malang,189736,39684,Tahun 2019
Lumajang,128835,20218,Tahun 2019
Banyuwangi,343326,28951,Tahun 2019
Bondowoso,75934,10752,Tahun 2019
Situbondo,115126,20056,Tahun 2019
Probolinggo,68230,27523,Tahun 2019
Pasuruan,398087,28662,Tahun 2019
Sidoarjo,322004,82265,Tahun 2019
Mojokerto,76024,31062,Tahun 2019
Jombang,109251,34228,Tahun 2019
Nganjuk,33751,12451,Tahun 2019
Madiun,28108,6911,Tahun 2019
Magetan,108401,12866,Tahun 2019
Ngawi,90965,21291,Tahun 2019
Bojonegoro,222465,20180,Tahun 2019
Tuban,89709,13506,Tahun 2019
Lamongan,317849,19272,Tahun 2019
Gresik,41306,57868,Tahun 2019
Bangkalan,76003,11317,Tahun 2019
Sampang,208652,7328,Tahun 2019
Pamekasan,83120,9672,Tahun 2019
Sumenep,46303,15118,Tahun 2019
Kota Kediri,21759,5479,Tahun 2019
Kota Blitar,39422,3747,Tahun 2019
Kota Malang,60358,19484,Tahun 2019
Kota Probolinggo,19400,7235,Tahun 2019
Kota Pasuruan,40126,6024,Tahun 2019
Kota Mojokerto,17123,4525,Tahun 2019
Kota Madiun,59911,8515,Tahun 2019
Kota Surabaya,517945,99236,Tahun 2019
Kota Batu,9920,3062,Tahun 2019
Jember,366860,25919,Tahun 2019
Pacitan,40851,5955,Tahun 2020
Ponorogo,42592,13295,Tahun 2020
Trenggalek,64444,15676,Tahun 2020
Tulungagung,59017,25271,Tahun 2020
Blitar,119481,23065,Tahun 2020
Kediri,47098,15308,Tahun 2020
Malang,154106,34501,Tahun 2020
Lumajang,82600,20521,Tahun 2020
Jember,190979,28373,Tahun 2020
Banyuwangi,256863,21662,Tahun 2020
Bondowoso,29894,10732,Tahun 2020
Situbondo,104132,17870,Tahun 2020
Probolinggo,26633,13331,Tahun 2020
Pasuruan,293260,5586,Tahun 2020
Sidoarjo,237010,57713,Tahun 2020
Mojokerto,99852,89200,Tahun 2020
Jombang,117549,27179,Tahun 2020
Nganjuk,48111,16697,Tahun 2020
Madiun,20096,4591,Tahun 2020
Magetan,114152,16244,Tahun 2020
Ngawi,76466,23870,Tahun 2020
Bojonegoro,193385,20727,Tahun 2020
Tuban,55856,13164,Tahun 2020
Lamongan,306719,21633,Tahun 2020
Gresik,47662,29367,Tahun 2020
Bangkalan,85976,12426,Tahun 2020
Sampang,32982,6748,Tahun 2020
Pamekasan,97028,11777,Tahun 2020
Sumenep,105326,33504,Tahun 2020
Kota Kediri,14586,5137,Tahun 2020
Kota Blitar,4213,1787,Tahun 2020
Kota Malang,39172,15388,Tahun 2020
Kota Probolinggo,10947,6079,Tahun 2020
Kota Pasuruan,27068,4829,Tahun 2020
Kota Mojokerto,15063,7021,Tahun 2020
Kota Madiun,37716,8991,Tahun 2020
Kota Surabaya,610255,96900,Tahun 2020
Kota Batu,10349,3865,Tahun 2020
Pacitan,81,18,Tahun 2021
Ponorogo,23,7,Tahun 2021
Trenggalek,39,11,Tahun 2021
Tulungagung,22,8,Tahun 2021
Blitar,67,20,Tahun 2021
Kediri,86,27,Tahun 2021
Malang,105,23,Tahun 2021
Lumajang,71,16,Tahun 2021
Jember,162,36,Tahun 2021
Banyuwangi,344,20,Tahun 2021
Bondowoso,27,8,Tahun 2021
Situbondo,117,16,Tahun 2021
Probolinggo,36,6,Tahun 2021
Pasuruan,237,24,Tahun 2021
Sidoarjo,233,58,Tahun 2021
Mojokerto,98,46,Tahun 2021
Jombang,219,31,Tahun 2021
Nganjuk,47,18,Tahun 2021
Madiun,18,12,Tahun 2021
Magetan,79,14,Tahun 2021
Ngawi,137,24,Tahun 2021
Bojonegoro,154,15,Tahun 2021
Tuban,39,10,Tahun 2021
Lamongan,232,17,Tahun 2021
Gresik,20,30,Tahun 2021
Bangkalan,60,8,Tahun 2021
Sampang,10,2,Tahun 2021
Pamekasan,199,23,Tahun 2021
Sumenep,33,8,Tahun 2021
Kota Kediri,16,5,Tahun 2021
Kota Blitar,6,1,Tahun 2021
Kota Malang,47,14,Tahun 2021
Kota Probolinggo,13,6,Tahun 2021
Kota Pasuruan,45,5,Tahun 2021
Kota Mojokerto,29,6,Tahun 2021
Kota Madiun,37,10,Tahun 2021
Kota Surabaya,398,80,Tahun 2021
Kota Batu,8,2,Tahun 2021
Pacitan,96212,8,Tahun 2022
Ponorogo,83153,13,Tahun 2022
Trenggalek,214515,14,Tahun 2022
Tulungagung,136025,16,Tahun 2022
Blitar,352238,25,Tahun 2022
Kediri,178324,44,Tahun 2022
Malang,250150,22,Tahun 2022
Lumajang,144556,22,Tahun 2022
Jember,306464,32,Tahun 2022
Banyuwangi,352599,13,Tahun 2022
Bondowoso,40228,14,Tahun 2022
Situbondo,135359,18,Tahun 2022
Probolinggo,63179,12,Tahun 2022
Pasuruan,363031,29,Tahun 2022
Sidoarjo,504873,71,Tahun 2022
Mojokerto,201294,20,Tahun 2022
Jombang,257586,33,Tahun 2022
Nganjuk,103250,21,Tahun 2022
Madiun,59249,17,Tahun 2022
Magetan,188092,13,Tahun 2022
Ngawi,215085,28,Tahun 2022
Bojonegoro,278606,23,Tahun 2022
Tuban,224208,18,Tahun 2022
Lamongan,336361,23,Tahun 2022
Gresik,86156,55,Tahun 2022
Bangkalan,135602,13,Tahun 2022
Sampang,80409,8,Tahun 2022
Pamekasan,162074,11,Tahun 2022
Sumenep,252714,11,Tahun 2022
Kota Kediri,38204,8,Tahun 2022
Kota Blitar,37170,4,Tahun 2022
Kota Malang,128525,24,Tahun 2022
Kota Probolinggo,30920,8,Tahun 2022
Kota Pasuruan,52402,5,Tahun 2022
Kota Mojokerto,33244,6,Tahun 2022
Kota Madiun,38725,9,Tahun 2022
Kota Surabaya,685965,106,Tahun 2022
Kota Batu,30863,4,Tahun 2022
